"Mean","Standard Deviation","Variance","ZValue","ArraySize","Sample Size","Test Number"
-nan,-nan,-nan,0,1000,277,1
-nan,-nan,-nan,0,3000,340,2
-nan,-nan,-nan,0,5000,356,3
-nan,-nan,-nan,0,7000,364,4
-nan,-nan,-nan,0,9000,368,5
-nan,-nan,-nan,0,11000,371,6
-nan,-nan,-nan,0,13000,373,7
-nan,-nan,-nan,0,15000,374,8
-nan,-nan,-nan,0,17000,375,9
-nan,-nan,-nan,0,19000,376,10
-nan,-nan,-nan,0,21000,377,11
-nan,-nan,-nan,0,23000,377,12
-nan,-nan,-nan,0,25000,378,13
-nan,-nan,-nan,0,27000,378,14
-nan,-nan,-nan,0,29000,379,15
